SerialNumber,Brand,Category,Marketcap,SharePrice,Revenue,Country
1,MAC Cosmetics,Makeup,#10.5 B,$85.00,#2.3 B,USA
2,Maybelline,Makeup,#8.2 B,$20.00,#1.8 B,USA
3,L'Oréal Paris,Makeup,#15.7 B,$45.00,#3.5 B,France
4,NYX Professional Makeup,Makeup,#5.6 B,$15.00,#1.2 B,USA
5,Revlon,Makeup,#7.9 B,$30.00,#2.0 B,USA
6,Estée Lauder,Makeup,#21.4 B,$150.00,#6.7 B,USA
7,Clinique,Skincare,#12.3 B,$100.00,#4.5 B,USA
8,Laneige,Skincare,#3.8 B,$25.00,#1.1 B,South Korea
9,Kiehl's,Skincare,#4.5 B,$40.00,#1.3 B,USA
10,The Body Shop,Skincare,#2.7 B,$20.00,#900 M,UK
11,Neutrogena,Skincare,#9.1 B,$60.00,#3.2 B,USA
12,Shiseido,Skincare,#11.6 B,$80.00,#4.0 B,Japan
13,Benefit Cosmetics,Makeup,#6.3 B,$45.00,#1.7 B,USA
14,Anastasia Beverly Hills,Makeup,#4.8 B,$35.00,#1.3 B,USA
15,Tarte Cosmetics,Makeup,#3.5 B,$25.00,#1.0 B,USA
16,Huda Beauty,Makeup,#5.2 B,$50.00,#1.4 B,USA
17,Too Faced,Makeup,#4.6 B,$40.00,#1.2 B,USA
18,Fenty Beauty,Makeup,#3.9 B,$35.00,#1.0 B,USA
19,Charlotte Tilbury,Makeup,#4.1 B,$45.00,#1.1 B,UK
20,ColourPop Cosmetics,Makeup,#3.2 B,$15.00,#800 M,USA
